,lookahead_days,best_val_f1,test_accuracy,test_f1,test_precision,test_recall,num_train_dates,num_val_dates,num_test_dates
1,1.0,0.3360299168129436,0.5307471264367816,0.34672423502909705,0.2653735632183908,0.5,1621.0,348.0,348.0
3,3.0,0.3397837222538418,0.5401149425287356,0.350697813269647,0.2700574712643678,0.5,1621.0,348.0,348.0
5,5.0,0.3420803871894733,0.5462068965517242,0.35325602140945583,0.2731034482758621,0.5,1621.0,348.0,348.0
7,7.0,0.3411337044189481,0.5543678160919541,0.35665163055535015,0.27718390804597703,0.5,1621.0,348.0,348.0
10,10.0,0.3424284796492952,0.5566091954022988,0.3575779952002954,0.2783045977011494,0.5,1621.0,348.0,348.0
