Strategy,Return,Sharpe,Max_DD
Buy-and-Hold,83.1262509260374,2.1765707823354483,9.550365769419713
Equal-Weight (weekly),65.72644823958254,2.1390216496198504,8.548972668608906
Equal-Weight (daily),65.53181868209137,2.135000610112564,8.558664611035027
RL Agent (Quick Test - Improved),72.60052031124924,2.030270316624145,9.558227563562967
RL Agent (Original),45.514956714952845,1.981737993738568,6.8514181778529
