,accuracy,f1_score,precision,recall,roc_auc
Logistic Regression,0.5025,0.5016,0.5016,0.5016,0.5045
GAT,0.5024,0.501,0.5054,0.5052,0.5118
GCN,0.4949,0.4905,0.4918,0.492,0.4964
GraphSAGE,0.4866,0.485,0.4894,0.4896,0.4858
HGT,0.48,0.4366,0.4874,0.4919,0.4963
MLP,0.5188,0.3704,0.5017,0.5002,0.5052
LSTM,0.5204,0.3478,0.531,0.5007,0.5022
