top_k,correlation_threshold,test_accuracy,test_f1,num_test_graphs
5,0.3,0.4408,0.305941143808995,50
8,0.4,0.4408,0.305941143808995,50
10,0.5,0.4408,0.305941143808995,50
15,0.6,0.4408,0.305941143808995,50
20,0.7,0.4408,0.305941143808995,50
