Strategy,Final_Value,Return,Sharpe,Max_DD
RL Agent (Final - Improved),17178.630605346254,71.78630605346254,2.3625923228618086,9.000238777343926
Buy-and-Hold,18294.33076184191,83.1262509260374,2.1765707823354483,9.550365769419713
Equal-Weight (weekly),16572.644823958253,65.72644823958254,2.1390216496198504,8.548972668608906
Equal-Weight (daily),16553.181868209136,65.53181868209137,2.135000610112564,8.558664611035027
RL Agent (Original),14551.495671495284,45.514956714952845,1.981737993738568,6.8514181778529
