transaction_cost,slippage,cumulative_return,sharpe_ratio,max_drawdown,final_portfolio_value,num_trading_days
0.0,0.0,-0.9084465503692627,0.2851418122482938,1.8969933986663818,9138.9697265625,501
0.0001,0.0,-0.26433879137039185,-0.6504390992912162,2.1693575382232666,62443.54296875,501
0.0005,0.0,-0.10214818269014359,0.7897545979165495,1.8017704486846924,89404.2890625,501
0.001,0.0,1.0719393491744995,0.28499641506395945,1.4092432260513306,207936.59375,501
0.002,0.0,0.3912616968154907,-0.49970124583925357,3.641476631164551,138791.484375,501
0.005,0.0,1.2375491857528687,-0.14658491990591774,1.2731987237930298,224027.921875,501
0.001,0.0,-1.0364092588424683,-0.4623142863711271,1.4088093042373657,-3082.578857421875,501
0.001,0.0001,-0.5910553336143494,0.8177602912045622,1.9423103332519531,40911.734375,501
0.001,0.0005,-1.6859984397888184,0.5121418286357945,2.3480615615844727,-68388.875,501
0.001,0.001,0.4933803677558899,-0.3688123783885008,1.1252700090408325,149279.09375,501
0.001,0.002,-1.108959674835205,0.1573252131914159,1.4925909042358398,-9250.138671875,501
0.001,0.005,1.087537407875061,0.6912375627966169,3.1817867755889893,176524.140625,501
0.0,0.0,-1.1040812730789185,-0.37273782487650625,1.86589515209198,-10444.1220703125,501
0.001,0.0005,1.6347784996032715,0.6408276637948185,2.1307082176208496,263671.90625,501
0.002,0.001,-0.25495368242263794,1.1469517492597563,1.4216046333312988,63163.10546875,501
0.005,0.002,-0.6397402286529541,0.7652475713047678,1.3644638061523438,35936.84375,501
