Model,Accuracy,F1_Score,Precision@Top-5,Precision@Top-10,Precision@Top-20,IC_Mean,IC_IR
Phase 3 Baseline (GAT),0.5389645776566757,0.3503200310277521,0.5809264305177112,0.5662125340599455,0.5513623978201635,0.23831435574370413,0.9901018186937115
Phase 4 Transformer,0.5389100817438692,0.3501894543007897,0.5754768392370572,0.553133514986376,0.5397820163487739,0.022607263838118848,0.0693233952792437
