ticker,hub_score
AVGO,0.0037078680815654306
TSLA,0.0024256603385276066
ADBE,0.0014387427272736619
UNH,0.0014056956444176419
AXP,0.001334925657945851
GOOGL,0.001239583766195289
VZ,0.0011333722154351939
GOOG,0.0011092303050008153
LLY,0.0009242340931578922
XOM,0.0008715518193466964
MSFT,0.0008336432331557893
V,0.0008330128034677175
DIS,0.0008023368743987073
META,0.0007663160217478572
ABBV,0.0007461675761299549
MA,0.000738362436696401
ACN,0.0007307852195323626
CVX,0.0007221037483860717
QCOM,0.0007204765256501316
CMCSA,0.0007047333004973474
FDX,0.0007039467865155748
NVDA,0.000694894491306262
BRK-B,0.0006948912791779964
NKE,0.0006895674476233507
GE,0.0006824620234637644
IBM,0.0006821729662006788
HD,0.000676997027045616
AAPL,0.0006610642253375643
PEP,0.0006577579312753999
TXN,0.0006468059798740105
MRK,0.000640279601069075
SBUX,0.0006400285521952843
NFLX,0.0006300280476739202
INTC,0.0006267821445529388
CRM,0.0006183113319659973
ORCL,0.0005783335431331902
KO,0.0005704644403165364
BAC,0.0005692970567237032
MCD,0.0005687199039480817
TMO,0.0005684656446106162
PFE,0.0005637396862771192
AMZN,0.0005604160175744069
MMM,0.0005568168865387582
PG,0.0005529111535944475
JNJ,0.0005488198240145957
JPM,0.0005477988507942694
CAT,0.0005475676019502328
CSCO,0.0005475042162790447
COST,0.0005472350321182799
WMT,0.0005472057128583668
