Method,Avg Return,Sharpe Ratio,Episodes
MARL (QMIX),52.59556266033288,0.22961308673853578,33
Single-Agent RL,-35.275901794433594,0.0,5
Independent Learning,315.7656346234408,0.33907103255883264,33
